SIRET,Nom de l'enseigne,nom_etab_officiel,search_query,type_activite,temporalité,Numéro et voie,Arrondissement,geo_point_2d
79290302300010,Z ET V KITCHEN,Inconnu,Z ET V KITCHEN 10 RUE GABRIEL LAME Paris,Restaurant,toute_annee,10 RUE GABRIEL LAME,75012.0,"48.8338605621132, 2.387696585371299"
83443291600015,REDPUB,RED PUB,REDPUB 10B RUE CHALIGNY Paris,Restaurant,que_ete,10B RUE CHALIGNY,75012.0,"48.84587473319918, 2.38370606783948"
83988694200029,MAYA BAY,MAYA BAY,MAYA BAY 41 RUE CLAUDE DECAEN Paris,Restaurant,que_ete,41 RUE CLAUDE DECAEN,75012.0,"48.836063448071734, 2.3992416275301602"
53911722600024,CREPERIE PARIS BREIZH,Inconnu,CREPERIE PARIS BREIZH 1 RUE PAUL DUKAS Paris,Restaurant,toute_annee,1 RUE PAUL DUKAS,75012.0,"48.840743427503384, 2.3919657320102456"
82481337200011,CITEAUX SPHERE,CITEAUX SPHERE,CITEAUX SPHERE 45 RUE DE CITEAUX Paris,Restaurant,que_ete,45 RUE DE CITEAUX,75012.0,"48.84995013100543, 2.3812202067141506"
79377001700010,HOKI SUSHI,MAE POKE,HOKI SUSHI 60 BOULEVARD DE PICPUS Paris,Restaurant,toute_annee,60 BOULEVARD DE PICPUS,75012.0,"48.84456843743011, 2.402422378207946"
82053652200015,DDL,FUKUYAMA,DDL 60 RUE DE REUILLY Paris,Restaurant,toute_annee,60 RUE DE REUILLY,75012.0,"48.844768138804056, 2.3894680297803577"
43486631500022,A LA BICHE AU BOIS,Inconnu,A LA BICHE AU BOIS 45 AVENUE LEDRU ROLLIN Paris,Restaurant,toute_annee,45 AVENUE LEDRU ROLLIN,75012.0,"48.847983303703245, 2.3711282019651696"
81499477800011,AROIX JEAN,OMMABAB,AROIX JEAN 243 RUE DE BERCY Paris,Restaurant,toute_annee,243 RUE DE BERCY,75012.0,"48.84721867000273, 2.3687539622847105"
48153631600013,MIYAKO,Inconnu,MIYAKO 44 BOULEVARD DIDEROT Paris,Restaurant,toute_annee,44 BOULEVARD DIDEROT,75012.0,"48.846284387164275, 2.3786319291743023"
