SIRET,Nom de l'enseigne,nom_etab_officiel,type_activite,temporalité,Typologie,Numéro et voie,Arrondissement,etatAdministratifEtablissement,geo_point_2d,activitePrincipaleEtablissement
48883159500019,LA LOCOMOTIVE,LA LOCOMOTIVE,Restaurant,toute_annee,TERRASSE FERMÉE,215 RUE DE BERCY,75012.0,A,"48.84588555803578, 2.3706586684935615",56.10A
82279751000028,IMPASTO RESTAURANT,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,63 RUE TRAVERSIERE,75012.0,A,"48.84898043696975, 2.3745192425752344",56.10A
81115799900012,SUSHI MAYDO,MAYDO,Restaurant,toute_annee,TERRASSE FERMÉE,3 RUE ERARD,75012.0,A,"48.84522412276638, 2.383896892242259",56.10A
81002882900028,LA BONNE TRADITION,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,32 RUE DE LYON,75012.0,A,"48.84889880430683, 2.371221848133458",56.10A
89019866600012,MONUMENT CAFE,Inconnu,Restaurant,que_ete,CONTRE-TERRASSE ESTIVALE SUR VOIE PIÉTONNE,24 ROUTE DE CEINTURE DU LAC DAUMESNIL,75012.0,A,"48.83293976967145, 2.4144586546900326",56.10C
47786156100017,LA CANTINE,LA CANTINE,Bar,toute_annee,TERRASSE FERMÉE,119 RUE DE REUILLY,75012.0,A,"48.84118712798767, 2.3941370016462966",56.30Z
51900229900013,C'STERS,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,4 PLACE EDOUARD RENARD,75012.0,A,"48.83474826016342, 2.407627184985177",56.10A
39986714200032,LE PETIT ALBERT,LE COMPTOIR DOREE,Restaurant,toute_annee,TERRASSE OUVERTE,99 BOULEVARD PONIATOWSKI,75012.0,A,"48.83442999207393, 2.404411816626191",56.10A
38881539100015,LES SPECTACLES,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,110 RUE DE BERCY,75012.0,A,"48.83944961326437, 2.380335571090088",56.10A
40949540500014,LE PENTY BAR,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,11 RUE DE COTTE,75012.0,A,"48.848984116602836, 2.377275303685432",56.10A
39986714200032,LE PETIT ALBERT,LE COMPTOIR DOREE,Restaurant,toute_annee,TERRASSE OUVERTE,99 BOULEVARD PONIATOWSKI,75012.0,A,"48.83443845854966, 2.404460737052369",56.10A
44492652100014,DENIZ,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,81 RUE CROZATIER,75012.0,A,"48.85028940452154, 2.378760164144092",56.10C
87919400900038,LE 3BIS PARIS,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,41 RUE DES PIROGUES DE BERCY,75012.0,A,"48.83314147424754, 2.3873682844384727",56.10A
84539032700011,ROJI & JOITY,TAJ MAHAL,Restaurant,toute_annee,TERRASSE OUVERTE,115 BOULEVARD SOULT,75012.0,A,"48.844090551617285, 2.409964766057326",56.10A
48060451100018,LE CAFE DE PAULINE,CAFE PAULINE,Bar,que_ete,CONTRE-TERRASSE ESTIVALE SUR VOIE PIÉTONNE,9 RUE DE L'AMBROISIE,75012.0,A,"48.83383548162272, 2.3858885241765764",56.30Z
89821899500014,FANTASTYK,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,90 AVENUE DU DOCTEUR ARNOLD NETTER,75012.0,A,"48.84697659550744, 2.406331950253601",56.10C
52990493000011,LE RELAIS DIDEROT,LE RELAIS DIDEROT,Restaurant,toute_annee,TERRASSE OUVERTE,64 BOULEVARD DIDEROT,75012.0,A,"48.84653803533668, 2.38074650695643",56.10A
83518676800015,RESTAURANT WILL,TOWA,Restaurant,toute_annee,TERRASSE OUVERTE,75 RUE CROZATIER,75012.0,A,"48.84959481437061, 2.379314661237376",56.10A
40949540500014,LE PENTY BAR,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,15 RUE EMILIO CASTELAR,75012.0,A,"48.84895617448324, 2.377204624479079",56.10A
81855296000010,START,Inconnu,Restaurant,toute_annee,TERRASSE FERMÉE,39 BOULEVARD SOULT,75012.0,A,"48.83815032418989, 2.408102590396696",56.10C
81107590200031,NHA DO,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,55 RUE TRAVERSIERE,75012.0,A,"48.84840715641195, 2.3740793699542464",56.10C
79290302300010,Z ET V KITCHEN,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,10 RUE GABRIEL LAME,75012.0,A,"48.8338605621132, 2.387696585371299",56.10A
50988058900015,LIN,SAKURA,Restaurant,toute_annee,TERRASSE OUVERTE,19 RUE DU RENDEZ VOUS,75012.0,A,"48.84546136272842, 2.4036867123784678",56.10A
94918549000016,STATION CAFÉ,Inconnu,Bar,toute_annee,TERRASSE FERMÉE,27 BOULEVARD DIDEROT,75012.0,A,"48.8461665112366, 2.3752119206510183",56.30Z
93147391200018,LE CAFUNE,LE CACHIQUET,Restaurant,toute_annee,TERRASSE OUVERTE,20 RUE LOUIS BRAILLE,75012.0,A,"48.83965529373796, 2.4024282731591575",56.10A
50081229200026,CHEN ZHIDONG,CAFFE'IN,Restaurant,toute_annee,TERRASSE OUVERTE,152BIS AVENUE DAUMESNIL,75012.0,A,"48.840260542781856, 2.392132775040652",56.10A
80757738200011,L'ESCALE,BISTROT L'ESCALE,Bar,toute_annee,TERRASSE OUVERTE,80 COURS DE VINCENNES,75012.0,A,"48.8471118269271, 2.4060715708238396",56.30Z
98438958500014,SAS TAI TAI,Inconnu,Restaurant,toute_annee,TERRASSE FERMÉE,1 RUE ERARD,75012.0,A,"48.84515090632267, 2.383768072455705",56.10A
98118250400010,YOKO,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,104 BOULEVARD PONIATOWSKI,75012.0,A,"48.834941521620046, 2.4064318237622984",56.10A
75109423600013,ODELICES,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,2BIS RUE DE LYON,75012.0,A,"48.8462128920819, 2.3724185181915787",56.10C
80482222900022,LIQUIDATION JUDICIAIRE A NE PLUS UTILISER,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,58 RUE DE PICPUS,75012.0,A,"48.84332162314857, 2.3968663237174868",56.10A
80109330300023,QUAI 27 TER,ENTRE LES VIGNES,Restaurant,toute_annee,TERRASSE OUVERTE,27TER BOULEVARD DIDEROT,75012.0,A,"48.84616273761703, 2.375400193523507",56.10A
48494148900086,THE FROG AT BERCY VILLAGE,THE FROG AT BERCY VILLAGE,Restaurant,toute_annee,TERRASSE OUVERTE,26 RUE FRANCOIS TRUFFAUT,75012.0,A,"48.833131549339534, 2.3858335785033318",56.10A
82795054400029,BRASSERIE D'AZUR,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,7 RUE DE LYON,75012.0,A,"48.846490327498145, 2.371877452237041",56.10A
43472611300013,LES ASSOCIES,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,28 RUE BISCORNET,75012.0,A,"48.85150190950315, 2.3694511439862667",56.10A
81896894300014,BASTA COSI,BAROMAITRES,Bar,toute_annee,TERRASSE OUVERTE,24 RUE NICOLAI,75012.0,A,"48.83588730785279, 2.3943224529644906",56.30Z
80886136300022,LA GRANGE DE REUILLY,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,3 BOULEVARD DE REUILLY,75012.0,A,"48.839251693082225, 2.389708105108987",56.10C
89256685200018,AU TRAMWAY,AU TRAMWAY,Restaurant,toute_annee,PLANCHER MOBILE,253 AVENUE DAUMESNIL,75012.0,A,"48.83743758387254, 2.4019990288294495",56.10A
41299080600017,L'EBAUCHOIR,Inconnu,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,43 RUE DE CITEAUX,75012.0,A,"48.849855534646586, 2.3812121082503874",56.10A
90510665400015,CREATEA,Inconnu,Restaurant,que_ete,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,153 RUE DE CHARENTON,75012.0,A,"48.8449802653071, 2.3826843153157187",56.10A
83303890400011,TIKOUN OLAM,TIKOUN OLAM,Bar,toute_annee,TERRASSE OUVERTE,136 AVENUE DAUMESNIL,75012.0,A,"48.84080182019719, 2.3897990614709923",56.30Z
90093389600012,LE BISTRO LYONNAIS,LE BISTRO LYONNAIS,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,6 RUE MICHEL CHASLES,75012.0,A,"48.8466260026116, 2.373945504495607",56.10A
85044411800010,O'TACOS,O'TACOS,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,116B COURS DE VINCENNES,75012.0,A,"48.846763722815915, 2.4103230700841047",56.10C
84235920000016,VIADUC,Inconnu,Restaurant,que_ete,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,45 AVENUE DAUMESNIL,75012.0,A,"48.84749335983227, 2.3752901693699395",56.10A
53165840900028,LA TERRASSE DE LYON,LA TERRASSE DE LYON,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,28B BOULEVARD DIDEROT,75012.0,A,"48.845920722269554, 2.3757713553618864",56.10A
83002062400011,COMPTOIR VEGGIE,Inconnu,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,73 AVENUE LEDRU ROLLIN,75012.0,A,"48.849998058906195, 2.3745946178210664",56.10C
50914439000010,M A A,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,15 RUE HENRI DESGRANGE,75012.0,A,"48.83974836354291, 2.381868424537135",56.10A
51205417200014,SNC LIU LAI,LA TERRASSE,Restaurant,toute_annee,TERRASSE OUVERTE,1 PLACE LACHAMBEAUDIE,75012.0,A,"48.83588584290722, 2.386037104733667",56.10A
88161330100012,LE COMMIS SERT,Inconnu,Restaurant,que_ete,CONTRE TERRASSE ESTIVALE SUR TROTTOIR DÉSAXÉE PAR RAPPORT À LA DEVANTURE,17 RUE DE LA NATIVITE,75012.0,A,"48.835605492894146, 2.3862552878583023",56.10C
92145509300010,JIU JIU,Inconnu,Restaurant,toute_annee,TERRASSES OUVERTES SUR TROTTOIR,2 PLACE MAURICE DE FONTENAY,75012.0,A,"48.845157082626244, 2.3887756056305727",56.10C
